ASV_1,ASV_2,correlation,pvalue
3e7c933c821c9f18e53e1dda439951cf,da47a34fd036b068ca0c5eaf185e2082,-0.7811,0.0
7281c911136ba2bdcafebb9c71729dea,0ef7e12e6eb35a8fd9fac7badac0c381,0.781,0.0
7281c911136ba2bdcafebb9c71729dea,e1c573f885ed4c9191a32116f583d78a,-0.7803,0.0
179e72f0ecdfeb920df685432f3f2d1a,be9dcf562f0ab066c0b252d527a42d19,0.7798,0.0
35dbde30af820a2c3bcd85216229ad6a,be9dcf562f0ab066c0b252d527a42d19,0.7783,0.0
179e72f0ecdfeb920df685432f3f2d1a,25c54c57b4a4283237b33fdae82003c0,0.7779,0.0
ff6f97ce50ea01298f8e58b53b97d489,916d15ab17794198ea4c5ad1e3fb6258,-0.7773,0.0
0f4c04cefd226f6854ad0fbc2a2de226,472fdc0687378563f0c9da6da7638e1a,0.7753,0.0
a402fc6f0fd057decbe746f48bf12862,04869be25e3dc4d526ce3824d407aedf,-0.7747,0.0
7281c911136ba2bdcafebb9c71729dea,206069e5a5041e6c7f39a4141aefdc19,0.7745,0.0
ec92f6331d8ecb50e3f0dee8fbf3bcb0,793ecb5ed65cd96425a35698e8ab9e78,0.7743,0.0
472fdc0687378563f0c9da6da7638e1a,4c7b0d554a1103b7872deded4bccb4ea,0.7733,0.0
7281c911136ba2bdcafebb9c71729dea,499a635c6e7dcd5c8ef518302aa50011,-0.7727,0.0
da47a34fd036b068ca0c5eaf185e2082,85b80813a3be5e162f462e085b709b85,-0.7721,0.0
ff6f97ce50ea01298f8e58b53b97d489,4c7b0d554a1103b7872deded4bccb4ea,0.7721,0.0
ff6f97ce50ea01298f8e58b53b97d489,85b80813a3be5e162f462e085b709b85,-0.7718,0.0
93fadef301b62aa732e42bf1142b3afa,8ebc39e79a930b5db089420489c40543,0.7718,0.0
0ef7e12e6eb35a8fd9fac7badac0c381,da47a34fd036b068ca0c5eaf185e2082,-0.7716,0.0
be9dcf562f0ab066c0b252d527a42d19,472fdc0687378563f0c9da6da7638e1a,0.7708,0.0
0ef7e12e6eb35a8fd9fac7badac0c381,25c54c57b4a4283237b33fdae82003c0,-0.7698,0.0
04869be25e3dc4d526ce3824d407aedf,be9dcf562f0ab066c0b252d527a42d19,0.7696,0.01
0fec351445f84bd482075ceda6123f46,66575db7635d648549a9eb5a4eafb710,0.7695,0.0
04869be25e3dc4d526ce3824d407aedf,06246fa4c1b00ea76b5539442f32c012,0.7695,0.0
499a635c6e7dcd5c8ef518302aa50011,430c875622713c0d7662add2d8e7db60,0.7692,0.0
ec92f6331d8ecb50e3f0dee8fbf3bcb0,e144d237c973d831d708cac2c17df968,0.7689,0.0
472fdc0687378563f0c9da6da7638e1a,206069e5a5041e6c7f39a4141aefdc19,-0.7687,0.0
ff6f97ce50ea01298f8e58b53b97d489,206069e5a5041e6c7f39a4141aefdc19,-0.7685,0.0
a061d8883eca2028db1d268500722130,e79a45f432d0ccc86adbf9bbe7cef2a7,0.7683,0.0
da47a34fd036b068ca0c5eaf185e2082,a039c1ac15b3f4bc5cf1db8a5f1cc0fd,0.7679,0.0
9feda0d620fa50b57ce3f848e1b48975,be9dcf562f0ab066c0b252d527a42d19,0.7679,0.0
430c875622713c0d7662add2d8e7db60,25c54c57b4a4283237b33fdae82003c0,0.7678,0.0
daac17ca54538cbc9aada8497262da96,25c54c57b4a4283237b33fdae82003c0,-0.7672,0.0
d3cf08daefed96f494257ceff63a6cf8,793ecb5ed65cd96425a35698e8ab9e78,0.7669,0.0
35dbde30af820a2c3bcd85216229ad6a,a402fc6f0fd057decbe746f48bf12862,-0.7667,0.0
dd07e924156039f8e953d5ea58ab5023,945e47119242497c2e0bc5b3c6b6ba8e,0.7662,0.0
0fec351445f84bd482075ceda6123f46,0709277372b3816e3986842fb10c8e96,0.7646,0.0
430c875622713c0d7662add2d8e7db60,e1c573f885ed4c9191a32116f583d78a,0.7594,0.0
ff6f97ce50ea01298f8e58b53b97d489,765b69d9c4313cc8630769db523cc54c,0.7591,0.0
e1c573f885ed4c9191a32116f583d78a,472fdc0687378563f0c9da6da7638e1a,0.7591,0.0
0fec351445f84bd482075ceda6123f46,430c875622713c0d7662add2d8e7db60,-0.7589,0.01
206069e5a5041e6c7f39a4141aefdc19,6e21064675bd1626771d39886cc9d88b,0.7583,0.0
e1c573f885ed4c9191a32116f583d78a,6e21064675bd1626771d39886cc9d88b,-0.7582,0.0
a82691ab5fd4e8d3d3b23b7958c8e764,6aa300d5323cbf75dc53cec3e6acb87c,0.7577,0.0
430c875622713c0d7662add2d8e7db60,1cbf580d763d0eb5497ff2d6468e7668,-0.7572,0.0
7281c911136ba2bdcafebb9c71729dea,3e7c933c821c9f18e53e1dda439951cf,0.7567,0.0
0fec351445f84bd482075ceda6123f46,206069e5a5041e6c7f39a4141aefdc19,0.7552,0.0
430c875622713c0d7662add2d8e7db60,0ef7e12e6eb35a8fd9fac7badac0c381,-0.755,0.01
0ef7e12e6eb35a8fd9fac7badac0c381,3e7c933c821c9f18e53e1dda439951cf,0.7549,0.0
63f37ee4b481fccdffca10160ed5b944,d3cf08daefed96f494257ceff63a6cf8,0.7548,0.0
e1c573f885ed4c9191a32116f583d78a,5837405da6036e7481240160de143774,-0.7548,0.0
e1c573f885ed4c9191a32116f583d78a,4c7b0d554a1103b7872deded4bccb4ea,0.7521,0.0
7f78afb7e1d45cd528fe9cd909c93fb5,b3d8bf326297fb9b18ea4fef1ce8d4a6,-0.7521,0.0
430c875622713c0d7662add2d8e7db60,3e7c933c821c9f18e53e1dda439951cf,-0.7516,0.0
ff6f97ce50ea01298f8e58b53b97d489,945e47119242497c2e0bc5b3c6b6ba8e,-0.7512,0.0
0ef7e12e6eb35a8fd9fac7badac0c381,6e21064675bd1626771d39886cc9d88b,0.7508,0.0
ff6f97ce50ea01298f8e58b53b97d489,1cbf580d763d0eb5497ff2d6468e7668,-0.7499,0.0
a402fc6f0fd057decbe746f48bf12862,25c54c57b4a4283237b33fdae82003c0,-0.7497,0.0
0fec351445f84bd482075ceda6123f46,e79a45f432d0ccc86adbf9bbe7cef2a7,0.7497,0.0
af9554a6cc07a34c1cb6004e3dbb865a,0ef7e12e6eb35a8fd9fac7badac0c381,0.7486,0.0
25c54c57b4a4283237b33fdae82003c0,6e21064675bd1626771d39886cc9d88b,-0.7477,0.0
213ec0ef843de45b3db9302876229bed,25c54c57b4a4283237b33fdae82003c0,0.7465,0.01
25c54c57b4a4283237b33fdae82003c0,6aa300d5323cbf75dc53cec3e6acb87c,0.7465,0.0
e1c573f885ed4c9191a32116f583d78a,206069e5a5041e6c7f39a4141aefdc19,-0.7462,0.0
da47a34fd036b068ca0c5eaf185e2082,d02e8e093df5064814273f652473189e,0.7461,0.0
499a635c6e7dcd5c8ef518302aa50011,0ef7e12e6eb35a8fd9fac7badac0c381,-0.746,0.0
19463e5fe824700110e4a4ec8afe0512,6aa300d5323cbf75dc53cec3e6acb87c,-0.7459,0.0
e1c573f885ed4c9191a32116f583d78a,0ef7e12e6eb35a8fd9fac7badac0c381,-0.7456,0.0
3343d19c0bc1759a66023cbc86c92592,793ecb5ed65cd96425a35698e8ab9e78,0.7454,0.0
206069e5a5041e6c7f39a4141aefdc19,4c7b0d554a1103b7872deded4bccb4ea,-0.745,0.0
25c54c57b4a4283237b33fdae82003c0,5837405da6036e7481240160de143774,-0.7444,0.0
daac17ca54538cbc9aada8497262da96,6e21064675bd1626771d39886cc9d88b,0.7444,0.0
ec92f6331d8ecb50e3f0dee8fbf3bcb0,d3cf08daefed96f494257ceff63a6cf8,0.7444,0.0
430c875622713c0d7662add2d8e7db60,945e47119242497c2e0bc5b3c6b6ba8e,-0.7439,0.0
3e524f0bf09623c8530930bb8b27045c,25c54c57b4a4283237b33fdae82003c0,-0.7436,0.0
0ef7e12e6eb35a8fd9fac7badac0c381,1cbf580d763d0eb5497ff2d6468e7668,0.7424,0.0
e6485d233ed2b8b9a2f3f50f0747b9d2,3e524f0bf09623c8530930bb8b27045c,0.7421,0.0
e6485d233ed2b8b9a2f3f50f0747b9d2,e1c573f885ed4c9191a32116f583d78a,-0.7419,0.0
430c875622713c0d7662add2d8e7db60,6e21064675bd1626771d39886cc9d88b,-0.7418,0.0
3e524f0bf09623c8530930bb8b27045c,6e21064675bd1626771d39886cc9d88b,0.7416,0.0
01bc6f144e0f577c7a5364ebafdb3509,37a9f9625f201b6e61c29ac09ec54683,0.7415,0.0
e6485d233ed2b8b9a2f3f50f0747b9d2,25c54c57b4a4283237b33fdae82003c0,-0.7413,0.0
7281c911136ba2bdcafebb9c71729dea,a82691ab5fd4e8d3d3b23b7958c8e764,-0.7412,0.0
430c875622713c0d7662add2d8e7db60,a039c1ac15b3f4bc5cf1db8a5f1cc0fd,0.7411,0.0
3e7c933c821c9f18e53e1dda439951cf,f876e4d5cbaa6ac5f3c225bcaf146791,0.7396,0.0
19463e5fe824700110e4a4ec8afe0512,945e47119242497c2e0bc5b3c6b6ba8e,0.7395,0.0
