Node,Phylum,Domain,Relative_abundance,Role,Module
midas_g_110683.3,Firmicutes,Bacteria,0.0215,,4
Aminivibrio.1,Synergistota,Bacteria,4.5582,,5
Pelotomaculum.4,Firmicutes,Bacteria,0.0125,,6
midas_g_82137.3,Firmicutes,Bacteria,0.0029,,4
Oscillibacter.4,Firmicutes,Bacteria,0.0127,,6
Colidextribacter.1,Firmicutes,Bacteria,0.0103,,4
Hydrogenophaga.7,Proteobacteria,Bacteria,0.0969,,5
Syntrophomonadaceae.1,Firmicutes,Bacteria,0.0138,,2
midas_g_77817.1,Firmicutes,Bacteria,0.0055,,2
Petrimonas.1,Bacteroidota,Bacteria,3.4013,,5
midas_g_15299.1,Bacteroidota,Bacteria,0.7273,,5
Dehalobacterium.1,Firmicutes,Bacteria,0.0088,,4
midas_g_95485.1,Firmicutes,Bacteria,0.0017,,4
midas_g_9269.1,Bacteroidota,Bacteria,2.7422,,1
Hyphomonas.1,Proteobacteria,Bacteria,0.1462,,5
Veillonellales-Selenomonadales.2,Firmicutes,Bacteria,0.0087,,10
Anaerovorax.12,Firmicutes,Bacteria,0.01,,6
Comamonadaceae.6,Proteobacteria,Bacteria,0.0039,,6
Acetobacterium.1,Firmicutes,Bacteria,1.5006,,5
Dysgonomonas.1,Bacteroidota,Bacteria,1.2464,,9
Azorhizobium.1,Proteobacteria,Bacteria,0.0759,,1
NK4A214_group.2,Firmicutes,Bacteria,0.0044,,10
Ruminiclostridium.13,Firmicutes,Bacteria,0.0314,,4
Thauera.1,Proteobacteria,Bacteria,0.283,,5
Desulfovibrio.2,Desulfobacterota,Bacteria,0.6214,,9
Paludibacter.3,Bacteroidota,Bacteria,0.0081,,10
Desulfosporosinus.3,Firmicutes,Bacteria,0.1485,,4
midas_g_82137.1,Firmicutes,Bacteria,0.0246,,4
Terrisporobacter.1,Firmicutes,Bacteria,0.3266,,5
Proteiniclasticum.1,Firmicutes,Bacteria,0.4416,,2
Proteiniphilum.12,Bacteroidota,Bacteria,0.0589,,1
Limnobacter.1,Proteobacteria,Bacteria,0.0304,,5
Bacteria (unclassified).39,Bacteria (unclassified),Bacteria,0.0071,,1
Devosia.1,Proteobacteria,Bacteria,0.1138,,2
midas_g_49834.1,Firmicutes,Bacteria,0.0111,,10
Syntrophomonas.15,Firmicutes,Bacteria,0.0043,,6
midas_g_554.2,Firmicutes,Bacteria,0.0187,,1
Desulfurispora.1,Firmicutes,Bacteria,0.2243,,1
Oscillospiraceae.8,Firmicutes,Bacteria,0.0039,,10
midas_g_91392.2,Firmicutes,Bacteria,0.0135,,1
Proteiniphilum.17,Bacteroidota,Bacteria,0.0411,,10
Methylobacter.1,Proteobacteria,Bacteria,0.022,,10
Christensenellaceae.15,Firmicutes,Bacteria,0.0089,,10
Ruminiclostridium.9,Firmicutes,Bacteria,0.0636,,6
Sphingopyxis.5,Proteobacteria,Bacteria,0.0788,,6
midas_g_2178.1,Chloroflexi,Bacteria,0.2944,,1
Hungateiclostridiaceae.28,Firmicutes,Bacteria,0.0034,,4
Bradyrhizobium.2,Proteobacteria,Bacteria,0.0187,,4
Sulfurospirillum.1,Campylobacterota,Bacteria,0.8968,,5
midas_g_30443.1,Desulfobacterota,Bacteria,0.1418,,1
midas_g_85764.2,Firmicutes,Bacteria,0.0184,,1
Methanobacterium.37,Euryarchaeota,Archaea,0.0133,,10
Methanoculleus.1,Halobacterota,Archaea,0.0071,,6
midas_g_8129.1,Chloroflexi,Bacteria,0.0747,,5
Leucobacter.1,Actinobacteriota,Bacteria,0.266,,6
Methanobacterium.89,Euryarchaeota,Archaea,0.0145,,4
midas_g_36215.9,Bacteroidota,Bacteria,0.0875,,4
Syntrophomonas.3,Firmicutes,Bacteria,0.0244,,10
Tissierella.5,Firmicutes,Bacteria,0.0042,,6
Lentimicrobium.1,Bacteroidota,Bacteria,7.9372,,1
Rummeliibacillus.2,Firmicutes,Bacteria,0.0049,,4
midas_g_3409.1,WS1,Bacteria,0.198,,1
midas_g_98374.1,Chloroflexi,Bacteria,0.005,,10
Methanobacterium.34,Euryarchaeota,Archaea,0.0228,,10
Intestinimonas.1,Firmicutes,Bacteria,0.1086,,5
