"seq","5-10","A","B","C","Ca","Cb","D","E","Ea","F","Fa","Fb","G","Ga","H","Ha","I","Ia","J","Ja","Jb","K","L","M","N","Na","P","Q","Qa"
"cfdff1e1afc0bb96435226f40e8031fa",0.0013262493932409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5f9e31928bbbb226bcdc275a060efc44",0.00212199902918544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c601bfcd6b08e128ae6dfdcdb48400ed",0.00238724890783362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6ba11aa98436328c7d53c0b5db9dd2b0",0.0379307326466898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dc34e8512b788fb682511c00370ee4c7",0,0,0,0,0,0,0,0,0,0,0,0,0.000600268920476373,0,0.00249629122446651,0,0.00377248671545749,0,0.0033835890292765,0,0,0,0,0,0,0,0,0,0
"2e8ba4a2f665cc3ad88530fc739b1f9c",0,0,0,0.00287436716016357,0,0.0739348756969902,0,0.00212939739574698,0,0.00295586263684061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833819728174769,0,0.0207317845160474,0.0784995374134402,0.0632571085175697
"f8ba6a00faad1caa37ba09c412d78536",0,0,0,0,0,0.117063553186901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce276cbd3807bfb56527ce267d0b60e0",0,0,0,0,0,0.040048057669203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9c245301ea193d71d9c453f4e53f8f6d",0,0,0.000871717981798529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d693c275c376753e40770f95ba69a9f9",0,0,0,0.0107309707312773,0,0,0,0.016883079351994,0.0349096377453745,0.0396930125518596,0.0281587024469912,0,0.0114051094890511,0,0.00427935638479973,0,0.0102396067990989,0,0.00535734929635446,0,0,0.00378449736309581,0.00647879877887601,0.00555810637732293,0.0525500340314796,0.0731528895391368,0.0680508957396974,0,0
"659d1fe872c9b31a9e0b81eef5ca6218",0,0,0,0.0176294519156699,0.00759186152444579,0,0.0058777866282381,0.0780272045727288,0.265850318214775,0.399674855109948,0.267507673246417,0.152563059397884,0.283326930464848,0.127681307456588,0.0763151888622618,0.074147305981216,0.0587430074264096,0.0359781916807351,0.080360239445317,0.0899978276386432,0.0353278869507618,0.039180678582639,0.0253968912131939,0.00990792875957565,0.0188094217751052,0,0.0240552003544977,0.0448568785219659,0.0474428313881772
"8b05c693d167b0c68f1316963744f122",0,0,0,0,0,0,0,0.0214460737714518,0.0751899889900373,0.101766127925512,0.0703967561174781,0,0.0532238442822384,0,0.0124814561223325,0,0.00916175345182534,0,0.0064852123061133,0,0,0.0122439620570747,0.00570134292541089,0.00314153838718252,0,0,0,0,0
"3521140a9abbfb1ed8d6be3ce25fa48b",0,0,0,0,0,0,0,0,0,0.000422266090977229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37736c620442bdd78ddde3ea7451d314",0.00610074720890815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57d80e7465d3924d85b75767855a3c4f",0.048540727792617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29d5a1f45c97760080e874715394bcfe",0.160476176582149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4ceda7391cbf9cebcf0484faad59687b",0.00424399805837089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f254d2cc030e8a1ed05861537c4dfe86",0.000265249878648181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a09579da0b2f87eae05c1c9886c4bfc7",0.0254639883502253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99b7d01a509e8d23e7ea8ddc8c916745",0.00318299854377817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c983ca27c4dffb6920f6059c696adbc2",0.00424399805837089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6c5285812f71ed019e28402a38c1158a",0.00901849587403814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d08086e2ae7f6779772be3242340f17a",0,0,0,0,0,0,0.000810729190101807,0.00106469869787349,0,0,0,0,0.000800358560635165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d892477defe0f9cdd8909406acda6427",0.00238724890783362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54cf58358cfa82b7dc7956916adbaf7e",0,0.0016250650026001,0,0,0,0,0,0,0,0.000633399136465844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
