"seq","5-10","H","Ha","I","Ia","J","Ja","Jb","K","L","M","N","Na","P","Q","Qa"
"2a19b898afc817194e7a4996c2501bd5",0.0106122470637239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"630dbfa8fbc034c9f8692f9d429ea57e",0.00397959264889646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"af2d8d803a1e0df98789044e20c2646a",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00759955415948931,0,0
"00822d53733c27d8119b5fc4ed19f687",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00744123011449995,0,0
"63f37ee4b481fccdffca10160ed5b944",0.238775558933788,23.9741975973385,21.1974908373273,25.8598575077875,24.9993078818416,20.3311872713993,14.9554748828695,21.8459231820788,10.4025553416211,12.2925610884114,11.0955141013344,7.66666860563192,8.2461331950334,22.0124252710508,15.5520602196444,15.195799329411
"89628653ce7d25046e81ec1e41c9122f",0,0,0,0,0,0,0,0,0,0.0119184261459178,0,0,0,0,0,0
"829161d9eeb2bc71c936ceac625d9240",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649128584456379,0,0
"dfa00f358503d3a79cb2c330ee60c1e2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00807452629445739,0,0
"e36ac8cd7dc84d43bd2784fdc182f91a",0,0,0,0,0,0,0,0,0.00267108880257315,0,0.0026576660376857,0,0,0,0,0
"70414021f4b21e27cabdfe1be1ae296b",0,0,0,0,0,0,0,0,0,0,0,0.00678637838131303,0,0,0,0
"47c6142121fd5fbdd963a7a6fccb2c5e",0.00902041000416531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"390239bf01b14308adb01f1634c4b99c",0.00424489882548956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
