ASV_ID	140	149	153	161	168	182	189	210	238	262	283	300	315
144e3876b7943b5474d329bec54856a4	1	2	0	0	0	1	0	0	0	0	1	0	0
702860fda44c0d44ddacb5bd79fd5d24	0	0	0	0	0	0	0	0	1	0	11	31	49
35dbde30af820a2c3bcd85216229ad6a	70	54	193	101	96	11	27	7	5	15	3	4	0
58a5d06b791283b4270f688e0b7408c9	2	0	4	2	3	0	0	0	0	0	2	0	0
07751ebfb567d65db3f366d9c4037e68	0	1	4	0	0	1	0	0	0	0	3	0	0
0e94ac060981402de47bbf85360fea8b	0	0	0	9	0	3	2	0	2	0	0	0	0
7f78afb7e1d45cd528fe9cd909c93fb5	3361	4233	5390	7633	4222	9254	7437	7600	6570	4887	3374	3216	2772
ce94860005cb569777791022ac3014af	0	0	0	4	0	0	4	0	3	0	2	0	0
09ee5eb3e6c726c7c8242f6e97453fc2	305	473	514	519	353	457	319	133	123	87	187	369	776
0fec351445f84bd482075ceda6123f46	9539	8890	5312	4069	5990	2022	2833	11180	10009	12930	13647	15707	14311
534d7b1bce2cf035866320576094f81e	0	0	0	0	0	0	0	2	8	0	12	0	0
b4ac0621ed68fda2b501520e951949e1	0	0	0	0	0	0	0	5	7	0	5	0	0
2c1453fb27de0eb5e19ae61028df3294	0	0	0	7	0	0	0	8	7	0	15	0	0
c6d0e484e529a485ffc0b1f08f1fb158	3	2	0	5	0	0	0	0	0	0	2	0	0
19463e5fe824700110e4a4ec8afe0512	7	8	0	4	18	21	14	76	318	70	291	186	57
7281c911136ba2bdcafebb9c71729dea	0	0	0	0	0	0	0	7	19	21	103	176	48
38b371de3be6ddef03bea94294e9830d	4	3	0	6	0	3	2	0	0	0	4	13	0
63f37ee4b481fccdffca10160ed5b944	7511	8249	7912	6389	4720	3135	3821	3570	2407	2628	6955	4921	4804
5976a56adfe903f7348b5eb5689e3c55	2	39	131	63	56	21	262	277	190	90	124	145	149
43a52ec4605b37f3671b33e61ff6fedd	0	18	52	31	36	6	133	137	92	43	67	68	60
ec92f6331d8ecb50e3f0dee8fbf3bcb0	26	40	32	15	23	3	2	4	4	5	5	8	8
07c98191a29a6be9185f213be81a429f	0	0	0	0	0	1	4	0	0	0	1	0	0
ea156f972cd3802c3fac147e4200ba7a	0	0	0	0	0	2	1	0	0	0	7	0	0
4adbf4beb8d2b17f63b543e4d9aa39b6	0	0	0	0	0	0	0	0	30	149	19	0	0
93fadef301b62aa732e42bf1142b3afa	99	56	162	124	292	89	163	146	254	469	439	459	867
92f305372628ccbd74b7b28b933d306b	0	0	0	0	0	0	0	0	7	43	13	0	0
